datetime,PM2.5,PM10,NO2,CO,SO2,temperature,humidity,wind_speed
2022-01-03 22:00:00,41.93,100.6,22.07,1.25,8.43,-0.25,82.95,5.8
2022-01-03 23:00:00,32.21,77.45,16.74,1.0,11.7,1.61,82.33,7.23
2022-01-04 00:00:00,42.37,77.87,17.6,1.11,5.3,-1.66,80.27,6.22
2022-01-04 01:00:00,32.55,67.24,17.83,1.2,5.85,1.71,72.21,4.67
2022-01-04 02:00:00,45.83,97.9,20.91,1.19,7.03,-6.16,88.16,3.66
2022-01-04 03:00:00,52.13,132.85,22.11,1.4,6.19,1.52,90.44,3.37
2022-01-04 04:00:00,60.3,135.4,21.27,1.44,3.19,1.09,84.68,2.65
2022-01-04 05:00:00,66.77,146.09,29.78,1.65,5.46,1.52,74.24,1.83
2022-01-04 06:00:00,81.01,167.04,29.26,1.94,4.3,3.59,85.64,2.82
2022-01-04 07:00:00,102.61,177.0,38.17,2.12,6.78,0.73,78.74,2.83
2022-01-04 08:00:00,92.04,202.44,37.16,1.98,8.65,5.47,83.34,6.32
2022-01-04 09:00:00,106.15,199.48,35.05,2.33,10.49,7.66,72.92,1.98
2022-01-04 10:00:00,41.45,63.96,23.46,1.7,9.7,10.7,76.27,10.14
2022-01-04 11:00:00,65.36,153.07,28.03,1.69,10.61,7.2,72.09,1.9
2022-01-04 12:00:00,53.01,122.55,24.63,1.37,,6.79,72.62,3.6
2022-01-04 13:00:00,31.3,67.26,22.9,1.23,12.11,7.24,63.68,10.36
2022-01-04 14:00:00,44.97,108.41,19.75,1.34,18.6,9.57,78.44,4.53
2022-01-04 15:00:00,57.58,135.84,22.09,1.38,21.61,7.6,78.88,4.42
2022-01-04 16:00:00,57.58,122.54,23.28,1.58,13.23,4.85,81.53,5.09
2022-01-04 17:00:00,56.09,126.8,31.79,1.59,12.06,5.73,79.62,7.22
2022-01-04 18:00:00,54.15,131.72,25.03,1.37,17.64,3.61,,8.93
2022-01-04 19:00:00,71.86,149.53,24.61,1.7,11.72,4.05,86.48,5.84
2022-01-04 20:00:00,47.58,117.92,21.2,1.22,9.83,-0.49,90.34,7.22
2022-01-04 21:00:00,41.62,90.55,22.94,1.25,10.83,-0.78,76.32,9.0
2022-01-04 22:00:00,44.78,95.3,19.73,1.16,7.9,-1.7,87.62,5.23
2022-01-04 23:00:00,37.48,78.7,18.15,1.2,8.69,-4.35,92.48,5.43
2022-01-05 00:00:00,20.14,37.65,18.33,1.03,6.36,-0.94,78.99,12.08
2022-01-05 01:00:00,40.15,52.18,16.98,1.71,6.2,-0.84,80.3,4.17
2022-01-05 02:00:00,40.13,65.79,26.38,1.7,9.27,-0.85,86.96,4.45
2022-01-05 03:00:00,44.51,73.62,23.15,1.46,6.49,-0.54,70.35,4.09
2022-01-05 04:00:00,55.22,91.92,21.89,1.48,3.25,-1.86,74.78,2.25
2022-01-05 05:00:00,59.94,112.74,26.82,1.46,5.06,1.33,73.02,4.05
2022-01-05 06:00:00,79.4,156.6,28.01,1.94,12.63,2.78,65.4,2.07
2022-01-05 07:00:00,108.73,251.68,33.06,2.07,6.55,3.16,88.15,2.11
2022-01-05 08:00:00,119.19,210.96,33.17,2.17,7.4,5.64,61.58,2.54
2022-01-05 09:00:00,105.77,174.64,34.1,2.11,7.62,7.81,78.5,1.86
2022-01-05 10:00:00,85.76,223.44,30.72,1.8,15.91,11.57,79.24,1.86
2022-01-05 11:00:00,61.74,161.58,29.63,1.52,19.64,8.65,72.74,2.77
2022-01-05 12:00:00,48.53,113.88,21.83,1.25,11.18,8.98,69.47,2.64
2022-01-05 13:00:00,44.5,81.99,20.92,1.17,12.68,8.15,77.34,3.34
2022-01-05 14:00:00,52.85,103.74,19.0,1.25,15.04,3.96,78.85,3.17
2022-01-05 15:00:00,46.93,71.76,25.35,1.48,14.14,6.95,84.47,6.31
2022-01-05 16:00:00,59.74,96.74,23.49,1.58,18.51,6.09,56.1,4.8
2022-01-05 17:00:00,69.65,157.38,24.52,1.53,13.34,9.69,66.9,4.54
2022-01-05 18:00:00,58.77,122.34,23.66,1.41,13.44,3.08,84.03,7.07
2022-01-05 19:00:00,66.23,126.13,27.17,1.53,11.66,2.78,80.18,4.96
2022-01-05 20:00:00,64.47,140.73,23.01,1.46,10.21,0.9,87.3,6.37
2022-01-05 21:00:00,47.82,96.03,25.37,1.47,8.9,-2.41,86.02,6.75
2022-01-05 22:00:00,41.14,105.45,20.51,1.18,7.64,1.42,79.78,5.05
2022-01-05 23:00:00,38.49,93.39,17.75,1.12,12.92,0.14,79.47,4.63
2022-01-06 00:00:00,44.34,104.64,16.59,1.15,5.89,0.11,100.0,4.18
2022-01-06 01:00:00,23.64,40.72,17.25,0.94,11.76,-3.12,96.78,11.03
2022-01-06 02:00:00,36.06,72.13,21.23,1.29,5.74,2.0,84.36,5.11
2022-01-06 03:00:00,47.91,103.69,19.09,1.19,4.56,-2.81,84.88,3.04
2022-01-06 04:00:00,51.67,77.08,23.04,1.46,4.9,2.2,84.55,2.61
2022-01-06 05:00:00,69.12,165.99,28.99,1.63,3.93,6.61,83.33,
2022-01-06 06:00:00,91.54,143.15,30.06,1.88,5.23,1.54,84.12,2.19
2022-01-06 07:00:00,105.78,144.9,37.13,2.16,9.14,3.69,73.04,1.54
2022-01-06 08:00:00,131.36,240.28,37.49,2.61,10.32,6.22,91.3,1.09
2022-01-06 09:00:00,89.27,136.47,33.46,1.97,7.52,6.05,79.13,3.37
2022-01-06 10:00:00,72.08,157.86,25.02,1.52,12.83,4.75,94.31,4.55
2022-01-06 11:00:00,81.2,196.57,27.15,1.82,10.57,8.49,76.7,1.93
2022-01-06 12:00:00,68.61,129.39,29.22,1.57,13.89,6.4,74.91,2.1
2022-01-06 13:00:00,50.88,131.17,20.68,1.28,18.02,9.3,85.63,2.67
2022-01-06 14:00:00,48.12,100.95,20.26,1.22,16.57,6.02,79.6,3.8
2022-01-06 15:00:00,49.66,99.76,22.21,1.29,15.26,10.16,74.94,4.05
2022-01-06 16:00:00,75.66,,23.71,1.72,15.6,4.46,68.83,4.11
2022-01-06 17:00:00,65.56,105.29,26.08,1.5,15.16,4.18,83.94,5.32
2022-01-06 18:00:00,70.33,113.2,30.13,1.63,12.56,5.15,73.93,5.07
2022-01-06 19:00:00,68.83,165.67,24.19,1.55,12.37,-0.23,78.6,5.04
2022-01-06 20:00:00,49.47,71.25,22.73,1.27,12.23,1.48,76.89,6.61
2022-01-06 21:00:00,46.23,82.55,21.27,1.31,12.26,2.6,83.43,6.21
2022-01-06 22:00:00,31.55,75.5,18.15,1.14,8.38,-4.02,72.93,7.36
2022-01-06 23:00:00,37.97,85.76,17.81,1.08,6.97,-0.94,81.06,4.95
2022-01-07 00:00:00,46.1,101.88,16.96,1.16,11.4,-0.89,90.56,4.22
2022-01-07 01:00:00,37.52,92.7,17.32,1.09,5.97,0.32,71.78,4.19
2022-01-07 02:00:00,37.74,64.67,19.1,1.32,5.7,-3.22,85.96,5.26
2022-01-07 03:00:00,56.33,105.98,19.1,1.29,5.3,-2.59,79.02,2.9
2022-01-07 04:00:00,57.37,94.22,21.25,1.48,4.14,2.13,77.07,2.44
2022-01-07 05:00:00,76.08,181.55,24.5,1.82,11.53,2.89,92.93,
2022-01-07 06:00:00,46.61,78.47,25.94,1.29,6.21,4.09,65.53,7.73
2022-01-07 07:00:00,68.83,152.5,29.15,1.61,5.45,5.57,83.67,6.2
2022-01-07 08:00:00,106.61,270.57,33.06,2.08,8.16,4.73,74.39,2.61
2022-01-07 09:00:00,108.83,200.08,33.01,2.14,9.17,7.59,71.71,1.43
2022-01-07 10:00:00,69.76,136.26,31.87,1.86,12.38,8.5,66.3,3.45
2022-01-07 11:00:00,61.71,111.03,24.84,1.43,11.38,6.99,82.44,2.9
2022-01-07 12:00:00,42.58,87.81,26.53,1.26,11.66,12.32,70.61,4.08
2022-01-07 13:00:00,40.31,82.64,26.41,1.28,11.5,9.36,71.97,5.44
2022-01-07 14:00:00,46.75,105.62,19.4,1.26,11.9,5.53,78.45,3.58
2022-01-07 15:00:00,38.0,58.76,22.78,1.36,12.86,8.44,,7.19
2022-01-07 16:00:00,56.35,110.32,23.94,1.34,14.81,4.14,62.68,7.43
2022-01-07 17:00:00,60.24,127.97,26.69,1.54,13.58,6.46,72.91,5.6
2022-01-07 18:00:00,70.99,100.85,25.35,1.58,12.57,5.9,84.44,6.46
2022-01-07 19:00:00,59.84,91.97,25.52,1.51,12.13,0.65,69.43,5.73
2022-01-07 20:00:00,55.41,99.92,23.14,1.34,13.05,3.01,70.87,6.6
2022-01-07 21:00:00,41.19,72.63,22.65,1.22,14.99,0.88,77.88,6.13
2022-01-07 22:00:00,37.9,92.87,18.43,1.23,16.61,0.9,,5.32
2022-01-07 23:00:00,35.42,49.15,17.29,1.12,8.68,2.55,79.74,5.0
2022-01-08 00:00:00,41.03,97.83,18.23,1.08,5.95,-1.84,74.73,5.58
2022-01-08 01:00:00,24.49,37.48,17.44,1.0,8.02,-2.68,81.04,8.22
2022-01-08 02:00:00,42.74,103.41,20.34,1.21,3.81,-2.46,83.58,3.34
2022-01-08 03:00:00,56.52,112.87,20.92,1.53,5.76,-1.51,88.4,3.23
2022-01-08 04:00:00,42.7,95.25,19.56,1.15,3.88,1.0,91.16,4.46
2022-01-08 05:00:00,65.96,102.17,25.92,,6.81,3.04,77.47,1.78
2022-01-08 06:00:00,54.31,125.98,25.53,1.64,5.09,4.21,93.74,8.98
2022-01-08 07:00:00,97.63,186.7,32.74,1.95,5.53,6.6,75.25,2.77
2022-01-08 08:00:00,89.06,125.82,29.81,1.81,10.11,6.18,83.69,4.63
2022-01-08 09:00:00,90.11,206.25,32.08,1.85,6.77,10.1,89.38,3.8
2022-01-08 10:00:00,81.89,178.5,41.4,2.02,8.39,7.45,77.15,3.52
2022-01-08 11:00:00,65.94,154.36,29.11,1.55,9.28,13.92,59.87,1.64
2022-01-08 12:00:00,52.16,101.53,21.27,1.26,10.05,9.9,74.8,2.78
2022-01-08 13:00:00,50.91,67.4,21.13,1.26,11.37,6.77,71.69,2.82
2022-01-08 14:00:00,42.19,102.34,23.59,1.28,15.22,5.84,75.13,6.08
2022-01-08 15:00:00,48.66,99.62,19.61,1.25,15.99,8.15,91.36,5.23
2022-01-08 16:00:00,60.73,145.39,23.5,1.47,14.61,5.71,67.65,4.17
2022-01-08 17:00:00,79.09,124.13,29.38,1.7,18.08,6.37,79.3,5.08
2022-01-08 18:00:00,75.49,165.59,27.87,1.63,13.47,4.6,71.3,4.84
2022-01-08 19:00:00,54.19,143.84,25.0,1.39,14.26,2.21,77.77,6.95
2022-01-08 20:00:00,54.96,135.85,27.82,1.49,14.19,-0.54,88.39,5.81
2022-01-08 21:00:00,51.16,86.26,23.92,1.38,10.74,-2.91,86.88,5.33
2022-01-08 22:00:00,37.4,79.84,20.3,1.08,12.83,-1.57,81.46,5.83
2022-01-08 23:00:00,35.16,71.17,17.5,1.21,7.31,0.54,76.37,4.48
2022-01-09 00:00:00,38.55,103.51,16.89,1.15,15.47,-0.85,85.21,4.45
2022-01-09 01:00:00,39.51,75.32,18.26,1.14,18.6,-3.6,98.54,3.81
2022-01-09 02:00:00,30.88,52.28,16.44,0.97,14.58,-0.26,75.0,7.0
2022-01-09 03:00:00,50.01,71.28,18.68,1.29,5.76,0.96,96.53,3.19
2022-01-09 04:00:00,51.29,90.07,20.55,1.56,4.16,-0.55,92.03,3.32
2022-01-09 05:00:00,70.57,118.61,32.85,1.75,5.04,2.74,90.77,2.63
2022-01-09 06:00:00,85.38,129.18,27.85,1.85,7.21,3.84,81.4,2.88
2022-01-09 07:00:00,127.94,175.56,32.5,2.44,4.51,2.73,89.19,1.56
2022-01-09 08:00:00,116.58,157.84,35.54,2.21,9.89,6.94,68.38,1.19
2022-01-09 09:00:00,106.04,192.26,36.0,2.23,7.85,8.38,69.95,1.2
2022-01-09 10:00:00,107.71,195.55,30.64,2.02,7.97,10.22,79.95,1.59
2022-01-09 11:00:00,63.57,111.34,25.86,1.83,13.4,10.66,75.84,2.57
2022-01-09 12:00:00,53.73,103.51,22.0,1.37,14.67,,76.04,2.4
2022-01-09 13:00:00,46.42,113.51,18.89,1.2,10.99,6.68,56.64,3.34
2022-01-09 14:00:00,49.78,83.53,21.03,1.27,12.15,9.08,71.25,3.04
2022-01-09 15:00:00,43.54,102.61,24.01,1.28,14.86,8.28,65.98,5.0
2022-01-09 16:00:00,57.75,82.24,22.02,1.45,13.86,7.25,80.15,7.16
2022-01-09 17:00:00,70.25,173.99,25.83,1.65,21.48,12.72,70.29,4.49
2022-01-09 18:00:00,70.7,119.48,26.14,1.66,13.79,4.86,73.08,5.1
2022-01-09 19:00:00,67.52,122.6,26.07,1.51,11.71,4.7,99.38,5.51
2022-01-09 20:00:00,59.53,112.63,24.26,1.39,11.46,3.13,87.8,5.51
2022-01-09 21:00:00,47.88,85.39,28.17,1.45,10.25,1.49,89.26,4.99
2022-01-09 22:00:00,51.52,127.5,19.77,1.33,10.76,-1.24,100.0,4.9
2022-01-09 23:00:00,29.13,45.74,19.58,1.23,9.24,0.41,88.09,8.07
2022-01-10 00:00:00,31.25,42.04,23.6,1.11,5.69,-2.75,78.03,5.86
2022-01-10 01:00:00,28.63,59.18,17.07,0.99,7.99,-1.51,76.1,8.29
2022-01-10 02:00:00,38.98,64.29,16.93,1.03,5.93,-1.51,90.92,3.87
2022-01-10 03:00:00,32.2,72.42,19.49,1.07,4.58,0.42,65.19,5.65
2022-01-10 04:00:00,41.26,70.94,23.21,1.23,5.59,5.92,76.64,4.54
2022-01-10 05:00:00,48.79,81.5,33.16,,8.65,-1.23,65.62,4.7
2022-01-10 06:00:00,98.23,164.23,29.33,1.87,10.44,5.17,78.66,1.33
2022-01-10 07:00:00,98.28,237.97,32.01,1.93,5.85,1.86,87.34,2.65
2022-01-10 08:00:00,108.87,250.68,36.33,2.23,8.04,5.35,79.96,2.25
2022-01-10 09:00:00,99.89,200.32,30.67,1.96,10.34,9.51,81.9,2.25
2022-01-10 10:00:00,86.3,113.12,,1.78,9.54,8.25,91.12,2.32
2022-01-10 11:00:00,53.61,98.51,23.08,1.31,12.15,6.47,75.68,3.97
2022-01-10 12:00:00,40.23,83.39,20.99,1.44,12.27,7.36,98.57,7.17
2022-01-10 13:00:00,38.69,79.88,19.78,1.21,11.51,9.98,75.72,5.13
2022-01-10 14:00:00,38.34,65.79,18.76,1.15,12.79,6.66,84.26,6.06
2022-01-10 15:00:00,50.22,106.69,24.36,1.32,12.24,7.76,70.9,4.51
2022-01-10 16:00:00,64.24,102.03,29.62,1.6,12.66,6.39,89.85,5.76
2022-01-10 17:00:00,68.86,132.21,40.05,2.06,27.09,3.78,87.31,5.22
2022-01-10 18:00:00,72.4,132.24,24.78,1.54,13.09,8.08,87.31,5.4
2022-01-10 19:00:00,60.37,109.86,21.65,1.4,11.28,3.77,79.42,8.32
2022-01-10 20:00:00,42.64,76.14,26.03,1.35,17.64,-2.76,74.16,8.53
2022-01-10 21:00:00,46.27,89.87,20.28,1.26,13.32,0.63,85.18,6.65
2022-01-10 22:00:00,33.89,58.33,19.11,1.27,10.6,-1.86,69.91,7.46
2022-01-10 23:00:00,33.58,56.46,26.71,1.19,6.66,0.67,78.78,5.08
2022-01-11 00:00:00,36.81,64.49,17.63,1.17,8.55,-2.72,85.7,4.85
2022-01-11 01:00:00,34.13,79.3,15.65,1.05,6.6,-1.19,100.0,
2022-01-11 02:00:00,41.19,72.02,18.43,1.08,6.19,0.55,84.11,3.76
2022-01-11 03:00:00,56.76,,18.26,1.36,4.92,2.07,81.46,2.54
2022-01-11 04:00:00,58.37,114.55,,1.31,3.04,-1.03,82.32,2.65
2022-01-11 05:00:00,61.42,117.47,24.83,1.65,11.71,1.91,69.74,2.35
2022-01-11 06:00:00,93.5,230.07,28.83,1.89,4.36,2.92,80.35,1.52
2022-01-11 07:00:00,104.25,218.41,31.57,2.24,7.43,3.86,79.74,1.7
2022-01-11 08:00:00,87.9,131.56,34.25,1.9,7.02,9.9,66.33,5.09
2022-01-11 09:00:00,82.06,154.73,43.16,2.0,7.41,8.21,65.93,4.0
2022-01-11 10:00:00,85.73,195.62,32.13,1.82,16.7,5.68,73.61,2.15
2022-01-11 11:00:00,63.07,151.48,28.25,1.51,16.22,10.53,74.09,3.44
2022-01-11 12:00:00,49.91,110.05,21.23,1.41,10.43,13.11,67.85,2.25
2022-01-11 13:00:00,39.59,97.03,28.03,1.26,12.12,10.76,64.98,4.58
2022-01-11 14:00:00,,88.35,20.7,1.16,12.43,5.16,80.19,3.97
2022-01-11 15:00:00,46.41,83.49,21.91,1.21,18.59,6.44,81.16,5.44
2022-01-11 16:00:00,52.71,103.23,22.58,1.81,15.77,8.9,75.85,5.55
2022-01-11 17:00:00,67.31,92.83,28.09,1.63,13.78,3.75,74.5,4.81
2022-01-11 18:00:00,59.91,82.21,23.95,1.41,23.71,4.76,82.95,7.43
2022-01-11 19:00:00,62.52,132.8,28.03,1.66,11.45,4.12,77.18,6.21
2022-01-11 20:00:00,49.02,84.95,23.71,1.33,12.78,-0.48,72.87,7.3
2022-01-11 21:00:00,52.94,99.81,25.95,1.37,9.11,0.21,90.12,5.08
2022-01-11 22:00:00,42.17,88.65,19.46,1.37,9.23,-6.94,90.38,6.17
2022-01-11 23:00:00,42.76,80.51,19.08,1.13,9.88,-3.01,83.45,4.93
2022-01-12 00:00:00,39.78,89.3,17.68,1.16,15.4,-1.56,70.68,6.96
2022-01-12 01:00:00,24.2,48.95,15.71,0.95,6.73,-3.38,78.74,8.0
2022-01-12 02:00:00,44.38,65.73,18.53,1.15,5.03,2.88,95.84,3.09
2022-01-12 03:00:00,47.75,115.21,20.5,1.38,10.77,-2.45,71.89,4.41
2022-01-12 04:00:00,51.61,119.88,21.19,1.43,6.04,0.57,79.53,2.16
2022-01-12 05:00:00,53.2,115.04,23.1,1.37,4.67,2.92,79.54,4.51
2022-01-12 06:00:00,106.41,207.41,30.86,2.08,5.96,6.83,79.1,1.47
2022-01-12 07:00:00,113.78,166.99,33.59,2.22,4.88,2.37,68.13,1.39
2022-01-12 08:00:00,113.51,247.32,40.03,2.41,5.38,8.77,76.37,1.43
2022-01-12 09:00:00,91.59,125.91,40.26,2.05,6.71,7.5,62.51,3.02
2022-01-12 10:00:00,91.83,166.89,30.53,1.98,8.83,6.32,77.73,1.79
2022-01-12 11:00:00,68.55,137.89,25.88,1.62,12.95,9.7,69.02,2.95
2022-01-12 12:00:00,58.2,137.17,20.79,1.36,19.96,9.35,67.6,3.27
2022-01-12 13:00:00,52.94,99.28,25.18,1.5,11.65,7.58,82.62,3.25
2022-01-12 14:00:00,41.28,87.25,21.84,1.21,13.96,8.42,73.38,4.16
2022-01-12 15:00:00,57.19,78.57,23.07,1.35,16.51,6.71,80.42,3.71
2022-01-12 16:00:00,55.35,124.62,23.7,1.35,14.72,6.68,80.71,7.13
2022-01-12 17:00:00,72.76,121.19,28.43,1.64,14.68,6.57,86.91,4.76
2022-01-12 18:00:00,51.08,72.92,24.0,1.45,17.12,7.12,66.64,7.92
2022-01-12 19:00:00,63.86,140.02,27.04,1.5,12.71,0.18,89.21,6.03
2022-01-12 20:00:00,49.22,67.63,22.98,1.27,10.23,5.71,77.56,6.43
2022-01-12 21:00:00,47.02,93.76,26.97,1.33,23.63,-3.49,81.77,5.38
2022-01-12 22:00:00,38.53,99.81,20.77,1.25,9.58,-0.69,73.35,5.11
2022-01-12 23:00:00,34.84,65.89,22.11,1.1,7.71,0.3,86.62,5.43
2022-01-13 00:00:00,39.68,89.46,16.01,1.2,6.5,-0.41,74.95,4.47
2022-01-13 01:00:00,38.59,101.46,18.14,1.28,6.13,-2.04,87.78,4.34
2022-01-13 02:00:00,49.25,114.58,16.65,1.22,6.89,-0.72,98.0,3.87
2022-01-13 03:00:00,52.53,104.95,29.05,1.44,3.2,-0.49,90.23,2.96
2022-01-13 04:00:00,54.8,98.5,22.57,1.57,3.56,0.35,92.85,2.52
2022-01-13 05:00:00,41.59,100.36,26.23,1.24,4.24,4.44,72.7,7.0
2022-01-13 06:00:00,85.22,144.43,30.29,1.76,6.88,4.74,84.31,2.6
2022-01-13 07:00:00,84.02,178.24,31.76,1.85,6.35,3.94,69.7,3.74
2022-01-13 08:00:00,118.92,283.31,36.04,2.29,5.48,8.33,73.47,1.07
2022-01-13 09:00:00,116.35,187.03,37.11,2.26,10.34,8.18,89.39,1.07
2022-01-13 10:00:00,87.73,172.8,32.03,1.89,7.96,9.99,69.15,2.37
2022-01-13 11:00:00,,135.01,29.55,1.53,8.8,10.12,82.8,4.22
2022-01-13 12:00:00,57.81,115.27,20.88,1.54,22.16,7.37,84.23,3.42
2022-01-13 13:00:00,44.65,88.57,19.83,1.26,12.24,7.74,84.41,3.93
2022-01-13 14:00:00,54.88,100.36,32.38,1.51,14.47,9.86,63.98,3.23
2022-01-13 15:00:00,38.55,80.11,22.66,1.38,17.89,8.79,79.17,9.28
2022-01-13 16:00:00,56.59,145.56,26.41,1.51,13.88,6.49,75.56,5.13
2022-01-13 17:00:00,79.66,180.66,25.52,1.73,14.86,5.56,86.26,4.58
2022-01-13 18:00:00,67.69,147.99,25.48,1.57,12.16,6.59,63.49,5.53
2022-01-13 19:00:00,72.39,150.35,27.96,1.72,17.51,1.55,83.7,5.04
